date,neg,neu,pos
2021/6/15,0.304,0.59,0.106
2021/6/16,0.302,0.602,0.096
2021/6/17,0.324,0.588,0.088
2021/6/18,0.352,0.57,0.078
2021/6/19,0.338,0.584,0.078
2021/6/20,0.294,0.588,0.118
2021/6/21,0.336,0.578,0.086
2021/6/22,0.29,0.624,0.086
2021/6/23,0.288,0.602,0.11
2021/6/24,0.352,0.566,0.082
2021/6/25,0.318,0.6,0.082
2021/6/26,0.346,0.568,0.086
2021/6/27,0.318,0.592,0.09
2021/6/28,0.336,0.582,0.082
2021/6/29,0.344,0.566,0.09
2021/6/30,0.322,0.572,0.106
2021/7/1,0.318,0.564,0.118
2021/7/2,0.318,0.588,0.094
2021/7/3,0.336,0.578,0.086
2021/7/4,0.364,0.552,0.084
2021/7/5,0.324,0.592,0.084
2021/7/6,0.368,0.542,0.09
2021/7/7,0.342,0.59,0.068
2021/7/8,0.352,0.58,0.068
2021/7/9,0.356,0.554,0.09
2021/7/10,0.374,0.558,0.068
2021/7/11,0.36,0.558,0.082
2021/7/12,0.37,0.556,0.074
2021/7/13,0.364,0.558,0.078
2021/7/14,0.392,0.544,0.064
2021/7/15,0.398,0.538,0.064
2021/7/16,0.356,0.572,0.072
2021/7/17,0.404,0.546,0.05
2021/7/18,0.368,0.56,0.072
2021/7/19,0.364,0.56,0.076
2021/7/20,0.356,0.584,0.06
2021/7/21,0.39,0.552,0.058
2021/7/22,0.348,0.598,0.054
2021/7/23,0.326,0.61,0.064
2021/7/24,0.374,0.55,0.076
2021/7/25,0.364,0.586,0.05
2021/7/26,0.358,0.582,0.06
2021/7/27,0.35,0.604,0.046
2021/7/28,0.39,0.558,0.052
2021/7/29,0.372,0.554,0.07
2021/7/30,0.368,0.562,0.07
2021/7/31,0.336,0.594,0.07
2021/8/1,0.4,0.52,0.08
2021/8/2,0.352,0.582,0.066
2021/8/3,0.372,0.568,0.06
2021/8/4,0.382,0.556,0.062
2021/8/5,0.378,0.548,0.074
2021/8/6,0.394,0.556,0.05
2021/8/7,0.39,0.556,0.054
2021/8/8,0.35,0.578,0.072
2021/8/9,0.384,0.548,0.068
2021/8/10,0.388,0.566,0.046
2021/8/11,0.384,0.552,0.064
2021/8/12,0.398,0.54,0.062
2021/8/13,0.354,0.562,0.084
2021/8/14,0.422,0.494,0.084
2021/8/15,0.344,0.582,0.074
2021/8/16,0.388,0.55,0.062
2021/8/17,0.296,0.622,0.082
2021/8/18,0.314,0.618,0.068
2021/8/19,0.35,0.566,0.084
2021/8/20,0.386,0.546,0.068
2021/8/21,0.362,0.57,0.068
2021/8/22,0.344,0.57,0.086
2021/8/23,0.328,0.594,0.078
2021/8/24,0.362,0.566,0.072
2021/8/25,0.372,0.56,0.068
2021/8/26,0.33,0.582,0.088
2021/8/27,0.396,0.534,0.07
2021/8/28,0.38,0.548,0.072
2021/8/29,0.392,0.528,0.08
2021/8/30,0.35,0.592,0.058
2021/8/31,0.326,0.598,0.076
2021/9/1,0.338,0.592,0.07
2021/9/2,0.41,0.518,0.072
2021/9/3,0.296,0.61,0.094
2021/9/4,0.368,0.556,0.076
2021/9/5,0.394,0.528,0.078
2021/9/6,0.326,0.618,0.056
2021/9/7,0.354,0.574,0.072
2021/9/8,0.338,0.588,0.074
2021/9/9,0.394,0.544,0.062
2021/9/10,0.402,0.554,0.044
2021/9/11,0.404,0.546,0.05
2021/9/12,0.392,0.538,0.07
2021/9/13,0.364,0.58,0.056
2021/9/14,0.41,0.518,0.072
2021/9/15,0.38,0.556,0.064
2021/9/16,0.342,0.586,0.072
2021/9/17,0.38,0.552,0.068
2021/9/18,0.352,0.58,0.068
2021/9/19,0.382,0.558,0.06
2021/9/20,0.388,0.544,0.068
2021/9/21,0.41,0.51,0.08
2021/9/22,0.326,0.576,0.098
2021/9/23,0.35,0.576,0.074
2021/9/24,0.376,0.558,0.066
2021/9/25,0.34,0.58,0.08
2021/9/26,0.384,0.546,0.07
2021/9/27,0.332,0.598,0.07
2021/9/28,0.374,0.562,0.064
2021/9/29,0.364,0.552,0.084
2021/9/30,0.336,0.584,0.08
2021/10/1,0.34,0.58,0.08
2021/10/2,0.36,0.552,0.088
2021/10/3,0.396,0.526,0.078
2021/10/4,0.372,0.55,0.078
2021/10/5,0.366,0.572,0.062
2021/10/6,0.352,0.582,0.066
2021/10/7,0.364,0.546,0.09
2021/10/8,0.354,0.58,0.066
2021/10/9,0.366,0.566,0.068
2021/10/10,0.352,0.556,0.092
2021/10/11,0.374,0.558,0.068
2021/10/12,0.378,0.558,0.064
2021/10/13,0.324,0.596,0.08
2021/10/14,0.356,0.566,0.078
2021/10/15,0.38,0.528,0.092
2021/10/16,0.364,0.568,0.068
2021/10/17,0.354,0.564,0.082
2021/10/18,0.438,0.506,0.056
2021/10/19,0.348,0.59,0.062
2021/10/20,0.302,0.604,0.094
2021/10/21,0.356,0.56,0.084
2021/10/22,0.334,0.562,0.104
2021/10/23,0.382,0.528,0.09
2021/10/24,0.364,0.546,0.09
2021/10/25,0.364,0.572,0.064
2021/10/26,0.37,0.548,0.082
2021/10/27,0.364,0.532,0.104
2021/10/28,0.33,0.58,0.086
2021/10/29,0.38,0.532,0.088
2021/10/30,0.352,0.566,0.082
2021/10/31,0.342,0.574,0.084
2021/11/1,0.342,0.564,0.094
2021/11/2,0.312,0.622,0.066
2021/11/3,0.37,0.558,0.072
2021/11/4,0.376,0.516,0.108
2021/11/5,0.376,0.54,0.084
2021/11/6,0.35,0.558,0.09
2021/11/7,0.386,0.546,0.068
2021/11/8,0.35,0.556,0.094
2021/11/9,0.308,0.59,0.102
2021/11/10,0.298,0.618,0.084
2021/11/11,0.388,0.54,0.072
2021/11/12,0.342,0.556,0.102
2021/11/13,0.358,0.554,0.088
2021/11/14,0.286,0.64,0.074
2021/11/15,0.358,0.55,0.092
2021/11/16,0.31,0.604,0.086
2021/11/17,0.324,0.59,0.086
2021/11/18,0.344,0.574,0.082
2021/11/19,0.316,0.568,0.116
2021/11/20,0.348,0.56,0.092
2021/11/21,0.308,0.61,0.082
2021/11/22,0.344,0.556,0.1
2021/11/23,0.338,0.572,0.09
2021/11/24,0.302,0.614,0.084
2021/11/25,0.328,0.552,0.12
2021/11/26,0.338,0.594,0.068
2021/11/27,0.332,0.592,0.076
2021/11/28,0.316,0.592,0.092
2021/11/29,0.324,0.59,0.086
2021/11/30,0.312,0.622,0.066
2021/12/1,0.314,0.602,0.084
2021/12/2,0.306,0.614,0.08
2021/12/3,0.312,0.602,0.086
2021/12/4,0.356,0.574,0.07
2021/12/5,0.334,0.57,0.096
2021/12/6,0.324,0.6,0.076
2021/12/7,0.34,0.588,0.072
2021/12/8,0.358,0.574,0.068
2021/12/9,0.338,0.572,0.09
2021/12/10,0.316,0.612,0.072
2021/12/11,0.388,0.52,0.092
2021/12/12,0.356,0.574,0.07
2021/12/13,0.324,0.602,0.074
2021/12/14,0.328,0.632,0.04
2021/12/15,0.342,0.568,0.09
2021/12/16,0.318,0.604,0.078
2021/12/17,0.326,0.578,0.096
2021/12/18,0.302,0.61,0.088
2021/12/19,0.298,0.63,0.072
2021/12/20,0.326,0.598,0.076
2021/12/21,0.31,0.614,0.076
2021/12/22,0.35,0.578,0.072
2021/12/23,0.288,0.614,0.098
2021/12/24,0.318,0.556,0.126
2021/12/25,0.324,0.562,0.114
2021/12/26,0.32,0.582,0.098
2021/12/27,0.308,0.628,0.064
2021/12/28,0.344,0.578,0.078
2021/12/29,0.31,0.62,0.07
2021/12/30,0.292,0.6,0.108
2021/12/31,0.274,0.576,0.15
2022/1/1,0.306,0.58,0.114
2022/1/2,0.348,0.576,0.076
2022/1/3,0.31,0.606,0.084
2022/1/4,0.312,0.596,0.092
2022/1/5,0.318,0.598,0.084
2022/1/6,0.348,0.58,0.072
2022/1/7,0.356,0.552,0.092
2022/1/8,0.31,0.602,0.088
2022/1/9,0.302,0.602,0.096
2022/1/10,0.33,0.602,0.068
2022/1/11,0.34,0.57,0.09
2022/1/12,0.344,0.584,0.072
2022/1/13,0.36,0.566,0.074
2022/1/14,0.344,0.57,0.086
2022/1/15,0.336,0.596,0.068
2022/1/16,0.308,0.556,0.136
2022/1/17,0.36,0.554,0.086
2022/1/18,0.308,0.596,0.096
2022/1/19,0.31,0.586,0.104
2022/1/20,0.326,0.564,0.11
2022/1/21,0.318,0.602,0.08
2022/1/22,0.386,0.51,0.104
2022/1/23,0.338,0.564,0.098
2022/1/24,0.31,0.604,0.086
2022/1/25,0.328,0.572,0.1
2022/1/26,0.346,0.564,0.09
2022/1/27,0.336,0.588,0.076
2022/1/28,0.35,0.57,0.08
2022/1/29,0.34,0.596,0.064
2022/1/30,0.34,0.566,0.094
2022/1/31,0.336,0.586,0.078
2022/2/1,0.312,0.604,0.084
2022/2/2,0.318,0.602,0.08
2022/2/3,0.33,0.586,0.084
2022/2/4,0.348,0.554,0.098
2022/2/5,0.35,0.558,0.092
2022/2/6,0.336,0.556,0.108
2022/2/7,0.336,0.574,0.09
2022/2/8,0.36,0.58,0.06
2022/2/9,0.356,0.566,0.078
2022/2/10,0.372,0.562,0.066
2022/2/11,0.364,0.546,0.09
2022/2/12,0.354,0.548,0.098
2022/2/13,0.33,0.586,0.084
2022/2/14,0.312,0.618,0.07
2022/2/15,0.324,0.598,0.078
2022/2/16,0.342,0.588,0.07
2022/2/17,0.358,0.558,0.084
2022/2/18,0.388,0.522,0.09
2022/2/19,0.378,0.542,0.08
2022/2/20,0.33,0.59,0.08
2022/2/21,0.33,0.588,0.082
2022/2/22,0.272,0.646,0.082
2022/2/23,0.336,0.596,0.068
2022/2/24,0.342,0.572,0.086
2022/2/25,0.366,0.568,0.066
2022/2/26,0.348,0.566,0.086
2022/2/27,0.336,0.584,0.08
2022/2/28,0.342,0.58,0.078
2022/3/1,0.362,0.578,0.06
2022/3/2,0.412,0.514,0.074
2022/3/3,0.33,0.602,0.068
2022/3/4,0.332,0.584,0.084
2022/3/5,0.326,0.588,0.086
2022/3/6,0.372,0.554,0.074
2022/3/7,0.314,0.6,0.086
2022/3/8,0.402,0.524,0.074
2022/3/9,0.342,0.59,0.068
2022/3/10,0.342,0.58,0.078
2022/3/11,0.28,0.616,0.104
2022/3/12,0.306,0.608,0.086
2022/3/13,0.338,0.592,0.07
2022/3/14,0.288,0.62,0.092
2022/3/15,0.29,0.606,0.104
2022/3/16,0.352,0.552,0.096
2022/3/17,0.33,0.568,0.102
2022/3/18,0.312,0.586,0.102
2022/3/19,0.322,0.598,0.08
2022/3/20,0.274,0.668,0.058
2022/3/21,0.312,0.6,0.088
2022/3/22,0.254,0.642,0.104
2022/3/23,0.322,0.588,0.09
2022/3/24,0.314,0.626,0.06
2022/3/25,0.236,0.696,0.068
2022/3/26,0.372,0.55,0.078
2022/3/27,0.332,0.566,0.102
2022/3/28,0.296,0.62,0.084
2022/3/29,0.332,0.568,0.1
2022/3/30,0.316,0.588,0.096
2022/3/31,0.314,0.568,0.118
2022/4/1,0.318,0.584,0.098
2022/4/2,0.302,0.602,0.096
2022/4/3,0.324,0.608,0.068
2022/4/4,0.272,0.64,0.088
2022/4/5,0.3,0.612,0.088
2022/4/6,0.326,0.602,0.072
2022/4/7,0.314,0.592,0.094
2022/4/8,0.352,0.556,0.092
2022/4/9,0.298,0.622,0.08
2022/4/10,0.344,0.568,0.088
2022/4/11,0.34,0.59,0.07
2022/4/12,0.382,0.56,0.058
2022/4/13,0.296,0.594,0.11
2022/4/14,0.338,0.584,0.078
2022/4/15,0.334,0.572,0.094
2022/4/16,0.298,0.618,0.084
2022/4/17,0.298,0.608,0.094
2022/4/18,0.31,0.616,0.074
2022/4/19,0.39,0.542,0.068
2022/4/20,0.336,0.586,0.078
2022/4/21,0.336,0.572,0.092
2022/4/22,0.338,0.566,0.096
2022/4/23,0.31,0.584,0.106
2022/4/24,0.316,0.604,0.08
2022/4/25,0.344,0.574,0.082
2022/4/26,0.334,0.568,0.098
2022/4/27,0.338,0.578,0.084
2022/4/28,0.35,0.558,0.092
2022/4/29,0.334,0.572,0.094
2022/4/30,0.294,0.588,0.118
2022/5/1,0.34,0.584,0.076
2022/5/2,0.338,0.584,0.078
2022/5/3,0.344,0.556,0.1
2022/5/4,0.352,0.576,0.072
2022/5/5,0.394,0.53,0.076
2022/5/6,0.308,0.572,0.12
2022/5/7,0.36,0.572,0.068
2022/5/8,0.356,0.562,0.082
2022/5/9,0.316,0.588,0.096
2022/5/10,0.338,0.59,0.072
2022/5/11,0.35,0.544,0.106
2022/5/12,0.346,0.57,0.084
2022/5/13,0.356,0.558,0.086
2022/5/14,0.364,0.536,0.1
2022/5/15,0.358,0.534,0.108
2022/5/16,0.344,0.576,0.08
2022/5/17,0.34,0.568,0.092
2022/5/18,0.37,0.556,0.074
2022/5/19,0.354,0.552,0.094
2022/5/20,0.326,0.588,0.086
2022/5/21,0.372,0.526,0.102
2022/5/22,0.366,0.546,0.088
2022/5/23,0.31,0.58,0.11
2022/5/24,0.39,0.53,0.08
2022/5/25,0.378,0.534,0.088
2022/5/26,0.338,0.546,0.116
2022/5/27,0.36,0.53,0.11
2022/5/28,0.286,0.564,0.15
2022/5/29,0.312,0.586,0.102
2022/5/30,0.326,0.566,0.108
2022/5/31,0.308,0.56,0.132
2022/6/1,0.338,0.558,0.104
2022/6/2,0.352,0.534,0.114
2022/6/3,0.344,0.574,0.082
2022/6/4,0.366,0.51,0.124
2022/6/5,0.346,0.58,0.074
2022/6/6,0.364,0.546,0.09
2022/6/7,0.364,0.534,0.102
2022/6/8,0.35,0.558,0.092
2022/6/9,0.364,0.538,0.098
2022/6/10,0.31,0.612,0.078
2022/6/11,0.35,0.572,0.078
2022/6/12,0.352,0.554,0.094
2022/6/13,0.344,0.562,0.094
2022/6/14,0.37,0.536,0.094
2022/6/15,0.37,0.546,0.084
2022/6/16,0.358,0.568,0.072
2022/6/17,0.364,0.55,0.086
2022/6/18,0.368,0.538,0.094
2022/6/19,0.376,0.53,0.094
2022/6/20,0.344,0.582,0.074
2022/6/21,0.334,0.566,0.1
2022/6/22,0.306,0.608,0.086
2022/6/23,0.36,0.542,0.098
2022/6/24,0.382,0.544,0.074
2022/6/25,0.346,0.556,0.098
2022/6/26,0.336,0.558,0.106
2022/6/27,0.318,0.584,0.098
2022/6/28,0.35,0.542,0.108
2022/6/29,0.31,0.618,0.072
2022/6/30,0.36,0.558,0.082
2022/7/1,0.358,0.552,0.09
2022/7/2,0.354,0.56,0.086
2022/7/3,0.358,0.55,0.092
2022/7/4,0.33,0.556,0.114
2022/7/5,0.368,0.558,0.074
2022/7/6,0.362,0.55,0.088
2022/7/7,0.33,0.552,0.118
2022/7/8,0.336,0.582,0.082
2022/7/9,0.34,0.576,0.084
2022/7/10,0.382,0.548,0.07
2022/7/11,0.33,0.57,0.1
2022/7/12,0.356,0.572,0.072
2022/7/13,0.33,0.584,0.086
2022/7/14,0.356,0.542,0.102
2022/7/15,0.344,0.572,0.084
2022/7/16,0.332,0.572,0.096
2022/7/17,0.342,0.562,0.096
2022/7/18,0.328,0.584,0.088
2022/7/19,0.334,0.584,0.082
2022/7/20,0.354,0.57,0.076
2022/7/21,0.29,0.61,0.1
2022/7/22,0.304,0.62,0.076
2022/7/23,0.304,0.62,0.076
2022/7/24,0.334,0.592,0.074
2022/7/25,0.36,0.56,0.08
2022/7/26,0.338,0.564,0.098
2022/7/27,0.358,0.564,0.078
2022/7/28,0.38,0.536,0.084
2022/7/29,0.352,0.534,0.114
2022/7/30,0.316,0.614,0.07
2022/7/31,0.356,0.574,0.07
2022/8/1,0.362,0.528,0.11
2022/8/2,0.362,0.542,0.096
2022/8/3,0.356,0.544,0.1
2022/8/4,0.378,0.538,0.084
2022/8/5,0.34,0.546,0.114
2022/8/6,0.312,0.606,0.082
2022/8/7,0.37,0.542,0.088
2022/8/8,0.314,0.57,0.116
2022/8/9,0.37,0.546,0.084
2022/8/10,0.298,0.602,0.1
2022/8/11,0.388,0.53,0.082
2022/8/12,0.378,0.516,0.106
2022/8/13,0.354,0.552,0.094
2022/8/14,0.356,0.55,0.094
2022/8/15,0.332,0.562,0.106
2022/8/16,0.368,0.544,0.088
2022/8/17,0.346,0.57,0.084
2022/8/18,0.366,0.552,0.082
2022/8/19,0.376,0.52,0.104
2022/8/20,0.35,0.568,0.082
2022/8/21,0.36,0.554,0.086
2022/8/22,0.432,0.504,0.064
2022/8/23,0.364,0.552,0.084
2022/8/24,0.326,0.598,0.076
2022/8/25,0.34,0.576,0.084
2022/8/26,0.396,0.524,0.08
2022/8/27,0.39,0.516,0.094
2022/8/28,0.324,0.57,0.106
2022/8/29,0.33,0.586,0.084
2022/8/30,0.374,0.524,0.102
2022/8/31,0.334,0.598,0.068
2022/9/1,0.414,0.504,0.082
2022/9/2,0.37,0.546,0.084
2022/9/3,0.364,0.564,0.072
2022/9/4,0.366,0.54,0.094
2022/9/5,0.356,0.514,0.13
2022/9/6,0.362,0.556,0.082
2022/9/7,0.32,0.572,0.108
2022/9/8,0.334,0.566,0.1
2022/9/9,0.338,0.568,0.094
2022/9/10,0.344,0.556,0.1
2022/9/11,0.398,0.522,0.08
2022/9/12,0.34,0.568,0.092
2022/9/13,0.352,0.574,0.074
2022/9/14,0.38,0.536,0.084
2022/9/15,0.37,0.526,0.104
2022/9/16,0.366,0.544,0.09
2022/9/17,0.356,0.556,0.088
2022/9/18,0.348,0.548,0.104
2022/9/19,0.342,0.58,0.078
2022/9/20,0.368,0.562,0.07
2022/9/21,0.358,0.566,0.076
2022/9/22,0.32,0.588,0.092
2022/9/23,0.31,0.6,0.09
2022/9/24,0.34,0.574,0.086
2022/9/25,0.318,0.59,0.092
2022/9/26,0.304,0.634,0.062
2022/9/27,0.32,0.584,0.096
2022/9/28,0.336,0.586,0.078
2022/9/29,0.33,0.59,0.08
2022/9/30,0.344,0.566,0.09
